aaa,9888121,8757,145,255
aab,9666772,9173,130,217
aac,9941770,9596,13,38
aad,9862555,8871,5,7
aae,9785866,7958,26,50
aaf,9312805,8838,98,214
aag,9908307,8949,94,235
aba,9664862,7491,81,198
abb,9979712,8182,151,356
abc,9911571,8581,15,51
abd,9715564,8320,95,191
abe,9712883,9972,5,7
abf,9964079,8439,134,224
abg,9859665,7994,250,504
aca,9841979,7553,71,221
acb,9692190,9161,39,64
acc,9888188,10626,111,277
acd,9910077,9701,12,42
ace,9741359,6942,370,622
acf,9915078,9181,57,74
acg,9986215,8507,70,157
ada,9939489,9396,11,41
adb,9719552,8399,5,13
adc,9590698,9049,13,32
add,9954160,8337,394,964
ade,9919079,11100,38,134
adf,9804131,8805,134,234
adg,9949741,8313,148,271
aea,9899817,8621,137,237
aeb,9800716,8510,547,921
aec,9566498,8118,311,546
aed,9996129,10462,30,121
aee,9933468,10313,219,405
aef,9901793,8881,107,332
aeg,9698823,9607,46,127
afa,9800652,8462,64,100
afb,9803197,9080,303,466
afc,9808000,9062,76,254
afd,9865314,8729,13,48
afe,9950176,10755,53,112
aff,9965616,7887,509,789
afg,9995216,8827,97,303
aga,9982154,8694,136,256
agb,9912170,9992,25,137
agc,9596503,8180,288,558
agd,9312125,9337,260,385
age,9866230,8751,70,165
agf,9763950,9994,107,276
agg,9858801,9563,145,246
baa,9767530,10324,42,88
bab,9980257,11181,5,11
bac,9639075,10730,53,95
bad,9992236,9204,37,79
bae,9933315,8866,87,218
baf,9839221,8295,540,925
bag,9892130,8388,93,146
bba,9939284,9034,30,115
bbb,9953847,10124,68,132
bbc,9966273,9214,222,528
bbd,9436918,9937,94,246
bbe,9806339,10051,145,246
bbf,9919616,7999,111,204
bbg,9918369,9574,19,52
bca,9933424,9228,120,328
bcb,9862626,8006,302,525
bcc,9792388,9072,122,205
bcd,9888918,9610,96,130
bce,9695221,8030,15,47
bcf,9918484,8549,43,90
bcg,9917795,9559,118,202
bda,9818886,9693,128,212
bdb,9490154,8948,8,21
bdc,9451701,9795,99,249
bdd,9792418,9404,63,205
bde,9996838,9922,18,34
bdf,9887257,8196,375,673
bdg,9662231,9342,189,284
bea,9756824,7807,34,95
beb,9945538,9124,73,127
bec,9909816,9657,93,152
bed,9747782,9385,276,376
bee,9974385,8758,16,47
bef,9917766,8975,151,238
beg,9987743,9637,80,134
bfa,9810220,8230,21,47
bfb,9983656,8270,284,410
bfc,9884326,8449,186,512
bfd,9961024,8553,130,238
bfe,9173831,9566,13,28
bff,9800697,6940,166,271
bfg,9962590,7266,73,160
bga,9975612,7642,96,134
bgb,9836781,7117,80,246
bgc,9664081,8725,183,260
bgd,9921603,10290,259,387
bge,9819801,9657,167,440
bgf,9852309,10051,43,142
bgg,9919928,8604,28,73
caa,9974375,9470,101,165
cab,9784258,8350,77,174
cac,9664998,8851,266,388
cad,9833118,7753,118,263
cae,9953806,9744,170,273
caf,9905465,8637,91,134
cag,9683263,10558,76,215
cba,9993608,9182,73,202
cbb,9820083,7529,227,356
cbc,9652279,8164,138,255
cbd,9607227,9363,6,21
cbe,9911191,8624,246,533
cbf,9085121,8941,210,480
cbg,9858144,9219,48,90
cca,9273786,11467,41,122
ccb,9957897,7151,56,263
ccc,9584512,9477,230,409
ccd,9970640,8694,99,155
cce,9922721,7440,9,29
ccf,9916591,7733,130,191
ccg,9508698,8988,52,119
cda,9729648,9490,5,10
cdb,9958558,8332,188,298
cdc,9998124,7748,5,16
cdd,9969805,8469,6,17
cde,9679145,7979,111,239
cdf,9890243,8295,123,200
cdg,9918671,7563,31,81
cea,9298199,10132,169,313
ceb,9912028,9514,122,177
cec,9952762,7877,170,306
ced,9924659,9130,14,46
cee,9556432,8884,167,325
cef,9724903,9518,10,26
ceg,9767717,9013,35,113
cfa,9952573,9249,113,288
cfb,9918089,9868,8,27
cfc,9802460,8201,128,206
cfd,9760997,9377,185,298
cfe,9840933,9658,225,358
cff,9688141,8284,5,7
cfg,9977443,11037,624,1664
cga,9733495,8324,123,235
cgb,9748279,10796,52,108
cgc,9868723,9395,299,565
cgd,9850042,8682,11,30
cge,9943104,8671,165,289
cgf,9919740,9348,202,310
cgg,9649260,8634,70,202
daa,9997464,8049,168,365
dab,9939039,8549,19,79
dac,9878091,9420,158,432
dad,9681000,6878,8,16
dae,9942201,9010,179,310
daf,9838679,8379,112,160
dag,9839851,9020,113,202
dba,9809091,9666,112,291
dbb,9721775,9583,5,9
dbc,9725308,8133,132,221
dbd,9597872,7273,76,135
dbe,9952315,8186,102,201
dbf,9770479,8653,131,199
dbg,9661778,8239,334,498
dca,9901666,8928,113,243
dcb,9883928,7698,79,200
dcc,9791373,9347,14,48
dcd,9589861,10296,12,42
dce,9967298,8482,100,254
dcf,9509131,8430,108,219
dcg,9877156,8689,13,31
dda,9810386,7764,184,334
ddb,9989392,8010,187,307
ddc,9998496,10565,442,746
ddd,9879462,8838,146,288
dde,9525120,8762,133,357
ddf,9871190,8820,695,1598
ddg,9431823,9442,5,9
dea,9910002,8252,44,91
deb,9812666,8705,326,680
dec,9882565,8190,139,206
ded,9920779,9835,120,212
dee,9869548,8093,119,277
def,9978745,9228,181,347
deg,9881196,8968,131,376
dfa,9833293,9736,310,791
dfb,9559607,7327,100,187
dfc,9867047,8692,28,63
dfd,9955056,8172,16,26
dfe,9836255,10585,256,349
dff,9675067,10938,42,88
dfg,9861042,8551,53,177
dga,9741301,7779,130,339
dgb,9980547,6857,251,348
dgc,9744568,8171,203,443
dgd,9614773,8568,36,60
dge,9996897,7875,131,198
dgf,9943623,9057,25,96
dgg,9503459,9552,278,552
eaa,9853870,8303,199,347
eab,9924954,8806,556,1548
eac,9960606,8115,36,72
ead,9882751,10979,133,201
eae,9991045,9884,46,119
eaf,9764985,8280,114,251
eag,9990866,6554,182,274
eba,9908540,8300,124,218
ebb,9789688,9829,104,227
ebc,9985818,9102,37,81
ebd,9851918,8918,92,161
ebe,9907061,8729,60,149
ebf,9617532,8534,239,417
ebg,9933597,7848,24,82
eca,9842689,8551,39,153
ecb,9853335,9311,106,152
ecc,9876312,8220,14,48
ecd,9876268,9456,227,364
ece,9980450,7896,14,37
ecf,9911585,8676,113,196
ecg,9847164,9898,5,14
eda,9903764,8014,150,244
edb,9989794,9247,32,96
edc,9755965,9842,5,8
edd,9963371,9061,78,224
ede,9343260,8418,228,321
edf,9936400,7544,187,310
edg,9809538,9257,106,163
eea,9736670,7305,123,172
eeb,9746565,8451,51,138
eec,9615475,9458,50,114
eed,9963565,8922,59,160
eee,9921720,9068,124,217
eef,9809890,7781,58,224
eeg,9859226,8898,115,262
